key,name,party,person_id,birthdate,year,income_rub,real_estate_sqm,vehicles,sanctions
afonin_y,Афонин Юрий Вячеславович,КПРФ,12,22.03.1977,2021,5737492,408.0,1,"Австралия, Великобритания, Европейский союз, Канада, Новая Зеландия, Соединенные Штаты Америки, Украина, Франция, Швейцария, Япония"
afonin_y,Афонин Юрий Вячеславович,КПРФ,12,22.03.1977,2020,5726905,104.0,1,"Австралия, Великобритания, Европейский союз, Канада, Новая Зеландия, Соединенные Штаты Америки, Украина, Франция, Швейцария, Япония"
afonin_y,Афонин Юрий Вячеславович,КПРФ,12,22.03.1977,2019,5640811,63.0,1,"Австралия, Великобритания, Европейский союз, Канада, Новая Зеландия, Соединенные Штаты Америки, Украина, Франция, Швейцария, Япония"
afonin_y,Афонин Юрий Вячеславович,КПРФ,12,22.03.1977,2018,4630965,63.0,2,"Австралия, Великобритания, Европейский союз, Канада, Новая Зеландия, Соединенные Штаты Америки, Украина, Франция, Швейцария, Япония"
afonin_y,Афонин Юрий Вячеславович,КПРФ,12,22.03.1977,2017,4655320,63.0,2,"Австралия, Великобритания, Европейский союз, Канада, Новая Зеландия, Соединенные Штаты Америки, Украина, Франция, Швейцария, Япония"
afonin_y,Афонин Юрий Вячеславович,КПРФ,12,22.03.1977,2016,5641097,63.0,2,"Австралия, Великобритания, Европейский союз, Канада, Новая Зеландия, Соединенные Штаты Америки, Украина, Франция, Швейцария, Япония"
afonin_y,Афонин Юрий Вячеславович,КПРФ,12,22.03.1977,2015,4838724,39.0,1,"Австралия, Великобритания, Европейский союз, Канада, Новая Зеландия, Соединенные Штаты Америки, Украина, Франция, Швейцария, Япония"
afonin_y,Афонин Юрий Вячеславович,КПРФ,12,22.03.1977,2015,4838724,63.0,2,"Австралия, Великобритания, Европейский союз, Канада, Новая Зеландия, Соединенные Штаты Америки, Украина, Франция, Швейцария, Япония"
afonin_y,Афонин Юрий Вячеславович,КПРФ,12,22.03.1977,2014,3934403,39.0,2,"Австралия, Великобритания, Европейский союз, Канада, Новая Зеландия, Соединенные Штаты Америки, Украина, Франция, Швейцария, Япония"
afonin_y,Афонин Юрий Вячеславович,КПРФ,12,22.03.1977,2013,2541317,989.0,2,"Австралия, Великобритания, Европейский союз, Канада, Новая Зеландия, Соединенные Штаты Америки, Украина, Франция, Швейцария, Япония"
afonin_y,Афонин Юрий Вячеславович,КПРФ,12,22.03.1977,2012,9320111,865.0,1,"Австралия, Великобритания, Европейский союз, Канада, Новая Зеландия, Соединенные Штаты Америки, Украина, Франция, Швейцария, Япония"
afonin_y,Афонин Юрий Вячеславович,КПРФ,12,22.03.1977,2012,9320111,865.0,2,"Австралия, Великобритания, Европейский союз, Канада, Новая Зеландия, Соединенные Штаты Америки, Украина, Франция, Швейцария, Япония"
afonin_y,Афонин Юрий Вячеславович,КПРФ,12,22.03.1977,2011,2260352,865.0,3,"Австралия, Великобритания, Европейский союз, Канада, Новая Зеландия, Соединенные Штаты Америки, Украина, Франция, Швейцария, Япония"
afonin_y,Афонин Юрий Вячеславович,КПРФ,12,22.03.1977,2010,11192197,865.0,3,"Австралия, Великобритания, Европейский союз, Канада, Новая Зеландия, Соединенные Штаты Америки, Украина, Франция, Швейцария, Япония"
